EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	05:36:13	0	0.1000	0.034991728143890344		_	_	_	_	0.024780072271823883	0.9124	0.9128	0.8392	0.9126	_	0.9218	0.9221	0.8553	0.9219
1	06:19:46	0	0.1000	0.024073548764436885		_	_	_	_	0.022057097405195236	0.9164	0.9168	0.8461	0.9166	_	0.925	0.9253	0.8607	0.9251
2	07:03:34	0	0.1000	0.022339509642388736		_	_	_	_	0.021750647574663162	0.9175	0.918	0.848	0.9177	_	0.9264	0.9267	0.8631	0.9265
3	07:47:17	0	0.1000	0.021987808577224086		_	_	_	_	0.02062166854739189	0.9169	0.9173	0.8469	0.9171	_	0.9254	0.9257	0.8614	0.9255
4	08:30:46	0	0.1000	0.02107169961294862		_	_	_	_	0.01991022564470768	0.9186	0.9191	0.8499	0.9188	_	0.9274	0.9277	0.8649	0.9275
5	09:14:40	0	0.1000	0.020801186155966555		_	_	_	_	0.020176567137241364	0.9157	0.9162	0.845	0.9159	_	0.925	0.9253	0.8608	0.9251
6	09:58:48	0	0.1000	0.020409283322859583		_	_	_	_	0.01949280872941017	0.9175	0.918	0.848	0.9177	_	0.9264	0.9267	0.8632	0.9265
7	10:42:25	0	0.1000	0.020118710654606808		_	_	_	_	0.01995176449418068	0.9234	0.9239	0.8582	0.9236	_	0.9304	0.9307	0.8701	0.9305
8	11:26:11	0	0.1000	0.01977845261775325		_	_	_	_	0.019358474761247635	0.9233	0.9237	0.8579	0.9235	_	0.9306	0.9309	0.8705	0.9307
9	12:09:30	0	0.1000	0.019573954894376692		_	_	_	_	0.019354678690433502	0.9191	0.9196	0.8507	0.9193	_	0.9265	0.9268	0.8633	0.9266
